chunk_index,token_density,heading_depth,neighbor_overlap,source_file,page
409,654,0,0.24210526315789474,unknown,-1
410,445,0,0.3768844221105528,unknown,-1
411,305,0,0.32270916334661354,unknown,-1
412,465,0,0.24477611940298508,unknown,-1
413,515,0,0.2910958904109589,unknown,-1
414,540,0,0.44280442804428044,unknown,-1
415,667,0,0.35782747603833864,unknown,-1
416,638,0,0.24850299401197604,unknown,-1
417,584,0,0.3333333333333333,unknown,-1
418,551,0,0.3977272727272727,unknown,-1
419,546,0,0.3204225352112676,unknown,-1
420,525,0,0.42857142857142855,unknown,-1
421,376,0,0.24056603773584906,unknown,-1
422,670,0,0.17338709677419356,unknown,-1
423,567,0,0.2965779467680608,unknown,-1
424,468,0,0.2403846153846154,unknown,-1
425,571,0,0.2618384401114206,unknown,-1
426,646,0,0.24610591900311526,unknown,-1
427,454,0,0.23076923076923078,unknown,-1
428,519,0,0.19078947368421054,unknown,-1
429,595,0,0.2857142857142857,unknown,-1
430,438,0,0.2775800711743772,unknown,-1
431,584,0,0.23809523809523808,unknown,-1
432,539,0,0.19822485207100593,unknown,-1
433,493,0,0.28619528619528617,unknown,-1
434,509,0,0.2987012987012987,unknown,-1
435,689,0,0.3042071197411003,unknown,-1
436,549,0,0.24545454545454545,unknown,-1
437,584,0,0.23008849557522124,unknown,-1
438,621,0,0.28716216216216217,unknown,-1
439,580,0,0.3443708609271523,unknown,-1
440,707,0,0.30363036303630364,unknown,-1
441,543,0,0.24152542372881355,unknown,-1
442,416,0,0.40372670807453415,unknown,-1
443,270,0,0.23706896551724138,unknown,-1
444,514,0,0.26644736842105265,unknown,-1
445,529,0,0.2175226586102719,unknown,-1
446,568,0,0.373134328358209,unknown,-1
447,604,0,0.42585551330798477,unknown,-1
448,638,0,0.2826855123674912,unknown,-1
449,374,0,0.2012987012987013,unknown,-1
450,631,0,0.3821656050955414,unknown,-1
451,622,0,0.32222222222222224,unknown,-1
452,598,0,0.2271186440677966,unknown,-1
453,638,0,0.3333333333333333,unknown,-1
454,626,0,0.3246753246753247,unknown,-1
455,601,0,0.1928020565552699,unknown,-1
456,604,0,0.24924924924924924,unknown,-1
457,470,0,0.2585034013605442,unknown,-1
458,494,0,0.2819672131147541,unknown,-1
459,510,0,0.2180232558139535,unknown,-1
460,537,0,0.2732732732732733,unknown,-1
461,647,0,0.2772585669781931,unknown,-1
462,610,0,0.21551724137931033,unknown,-1
463,548,0,0.20441988950276244,unknown,-1
464,623,0,0.27988338192419826,unknown,-1
465,544,0,0.26666666666666666,unknown,-1
466,550,0,0.30158730158730157,unknown,-1
467,536,0,0.35294117647058826,unknown,-1
468,545,0,0.5118110236220472,unknown,-1
469,576,0,0.49429657794676807,unknown,-1
470,521,0,0.3063973063973064,unknown,-1
471,631,0,0.2783171521035599,unknown,-1
472,498,0,0.35177865612648224,unknown,-1
473,367,0,0.2857142857142857,unknown,-1
474,578,0,0.2533783783783784,unknown,-1
475,549,0,0.3003533568904594,unknown,-1
476,562,0,0.29699248120300753,unknown,-1
477,562,0,0.27,unknown,-1
478,497,0,0.20540540540540542,unknown,-1
479,568,0,0.27129337539432175,unknown,-1
480,443,0,0.153125,unknown,-1
481,487,0,0.288135593220339,unknown,-1
482,447,0,0.26099706744868034,unknown,-1
483,620,0,0.1864406779661017,unknown,-1
484,640,0,0.3426791277258567,unknown,-1
485,453,0,0.23839009287925697,unknown,-1
486,555,0,0.32679738562091504,unknown,-1
487,576,0,0.3,unknown,-1
488,635,0,0.6396761133603239,unknown,-1
489,672,0,0.2755417956656347,unknown,-1
490,628,0,0.3313953488372093,unknown,-1
491,778,0,0.2604166666666667,unknown,-1
492,630,0,0.2697947214076246,unknown,-1
493,445,0,0.18849840255591055,unknown,-1
494,446,0,0.25252525252525254,unknown,-1
495,546,0,0.3497942386831276,unknown,-1
496,657,0,0.3140495867768595,unknown,-1
